=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
LET                      	let            	39	9
INT                      	int            	39	13
IDENTIFIER               	y              	39	17
DELIMITER                	$              	39	18
LET                      	let            	40	9
STRING                   	string         	40	13
IDENTIFIER               	str2           	40	20
ASSIGN                   	=              	40	25
STRING_LITERAL           	"sdff"         	40	27
DELIMITER                	$              	40	33
RIGHT_BLOCK              	?              	41	5
UNKNOWN                  	end            	42	5
DECIDE                   	decide         	42	9
DELIMITER                	$              	42	15
LET                      	let            	44	5
INT                      	int            	44	9
IDENTIFIER               	_i_            	44	13
DELIMITER                	$              	44	16
FOR                      	for            	45	5
IDENTIFIER               	_i_            	45	9
ASSIGN                   	=              	45	13
INT_LITERAL              	0              	45	15
DELIMITER                	$              	45	16
STEP                     	step           	45	18
INT_LITERAL              	1              	45	23
TO                       	to             	45	25
INT_LITERAL              	10             	45	28
DO                       	do             	45	31
LEFT_BLOCK               	¿              	45	34
OUTPUT                   	output         	46	9
IDENTIFIER               	_i_            	46	16
DELIMITER                	$              	46	19
RIGHT_BLOCK              	?              	47	5
LET                      	let            	49	5
INT                      	int            	49	9
IDENTIFIER               	_x_            	49	13
DELIMITER                	$              	49	16
FOR                      	for            	50	5
IDENTIFIER               	_x_            	50	9
ASSIGN                   	=              	50	13
INT_LITERAL              	0              	50	15
DELIMITER                	$              	50	16
STEP                     	step           	50	18
INT_LITERAL              	2              	50	23
TO                       	to             	50	25
INT_LITERAL              	11             	50	28
DO                       	do             	50	31
LEFT_BLOCK               	¿              	50	34
OUTPUT                   	output         	51	9
IDENTIFIER               	_x_            	51	16
DELIMITER                	$              	51	19
RIGHT_BLOCK              	?              	52	5
OUTPUT                   	output         	54	5
STRING_LITERAL           	"Hola mundo"   	54	12
DELIMITER                	$              	54	24
RETURN                   	return         	55	5
INT_LITERAL              	56             	55	12
DELIMITER                	$              	55	14
RIGHT_BLOCK              	?              	56	1
BOOL                     	bool           	58	1
IDENTIFIER               	func2          	58	6
LEFT_PAREN               	є              	58	12
BOOL                     	bool           	58	14
IDENTIFIER               	b1             	58	19
COMMA                    	,              	58	21
INT                      	int            	58	23
IDENTIFIER               	i1             	58	27
RIGHT_PAREN              	э              	58	30
LEFT_BLOCK               	¿              	58	32
LET                      	let            	59	5
INT                      	int            	59	9
IDENTIFIER               	id             	59	13
ASSIGN                   	=              	59	16
INT_LITERAL              	5              	59	18
DELIMITER                	$              	59	19
RETURN                   	return         	60	5
IDENTIFIER               	b1             	60	12
DELIMITER                	$              	60	14
RIGHT_BLOCK              	?              	61	1
VOID                     	void           	65	1
PRINCIPAL                	principal      	65	6
LEFT_PAREN               	є              	65	16
RIGHT_PAREN              	э              	65	18
LEFT_BLOCK               	¿              	65	20
LET                      	let            	69	5
CHAR                     	char           	69	9
IDENTIFIER               	miChar         	69	14
ASSIGN                   	=              	69	21
CHAR_LITERAL             	'!'            	69	23
DELIMITER                	$              	69	26
LET                      	let            	70	5
CHAR                     	char           	70	9
IDENTIFIER               	miChar2        	70	14
ASSIGN                   	=              	70	22
CHAR_LITERAL             	'@'            	70	24
DELIMITER                	$              	70	27
LET                      	let            	71	5
STRING                   	string         	71	9
IDENTIFIER               	str1           	71	16
ASSIGN                   	=              	71	21
STRING_LITERAL           	"Mi string 1"  	71	23
DELIMITER                	$              	71	36
LET                      	let            	72	5
FLOAT                    	float          	72	9
IDENTIFIER               	fl1            	72	15
DELIMITER                	$              	72	18
LET                      	let            	73	5
INT                      	int            	73	9
IDENTIFIER               	w              	73	13
DELIMITER                	$              	73	14
LET                      	let            	74	5
FLOAT                    	float          	74	9
IDENTIFIER               	f              	74	15
DELIMITER                	$              	74	16
IDENTIFIER               	fl1            	75	5
ASSIGN                   	=              	75	9
FLOAT_LITERAL            	56.6           	75	11
DELIMITER                	$              	75	15
IDENTIFIER               	w              	76	5
ASSIGN                   	=              	76	7
INT_LITERAL              	10             	76	9
DELIMITER                	$              	76	11
IDENTIFIER               	f              	77	5
ASSIGN                   	=              	77	7
FLOAT_LITERAL            	3.5            	77	9
DELIMITER                	$              	77	12
LET                      	let            	78	5
INT                      	int            	78	9
IDENTIFIER               	in1            	78	13
ASSIGN                   	=              	78	17
IDENTIFIER               	w              	78	19
MINUS_OPERATOR           	-              	78	21
INT_LITERAL              	14             	78	23
MOD_OPERATOR             	%              	78	26
IDENTIFIER               	w              	78	28
PLUS_OPERATOR            	+              	78	30
INT_LITERAL              	7              	78	32
INT_DIV_OPERATOR         	//             	78	34
INT_LITERAL              	15             	78	37
DELIMITER                	$              	78	39
LET                      	let            	79	5
FLOAT                    	float          	79	9
IDENTIFIER               	fl2            	79	15
ASSIGN                   	=              	79	19
FLOAT_LITERAL            	3.7            	79	21
MULT_OPERATOR            	*              	79	25
IDENTIFIER               	fl1            	79	27
PLUS_OPERATOR            	+              	79	31
FLOAT_LITERAL            	45.6           	79	33
DIV_OPERATOR             	/              	79	38
FLOAT_LITERAL            	7.6            	79	40
DELIMITER                	$              	79	43
LET                      	let            	81	5
INT                      	int            	81	9
IDENTIFIER               	arr            	81	13
UNKNOWN                  	[              	81	16
INT_LITERAL              	1000           	81	17
UNKNOWN                  	]              	81	21
ASSIGN                   	=              	81	23
LEFT_BLOCK               	¿              	81	25
INT_LITERAL              	4              	81	26
COMMA                    	,              	81	27
INT_LITERAL              	5              	81	29
RIGHT_BLOCK              	?              	81	30
DELIMITER                	$              	81	31
IDENTIFIER               	arr            	82	5
UNKNOWN                  	[              	82	8
INT_LITERAL              	66             	82	9
