=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
IDENTIFIER               	_i_            	40	6
ASSIGN                   	=              	40	9
INT_LITERAL              	0              	40	11
DELIMITER                	$              	40	12
STEP                     	step           	40	14
INT_LITERAL              	1              	40	19
TO                       	to             	40	21
INT_LITERAL              	10             	40	24
DO                       	do             	40	27
LEFT_BLOCK               	¿              	40	31
OUTPUT                   	output         	40	33
IDENTIFIER               	_i_            	40	41
DELIMITER                	$              	40	46
RIGHT_BLOCK              	?              	40	48
OUTPUT                   	output         	41	2
STRING_LITERAL           	"Hola mundo"   	41	10
DELIMITER                	$              	41	24
INPUT                    	input          	42	2
IDENTIFIER               	_x22_          	42	9
DELIMITER                	$              	42	16
RETURN                   	return         	43	2
INT_LITERAL              	-56            	43	9
DELIMITER                	$              	43	12
RIGHT_BLOCK              	?              	44	2
BOOL                     	bool           	46	2
IDENTIFIER               	func2          	46	7
LEFT_PAREN               	є              	46	14
BOOL                     	bool           	46	16
IDENTIFIER               	_b1_           	46	21
COMMA                    	,              	46	25
INT                      	int            	46	27
IDENTIFIER               	_i1_           	46	31
RIGHT_PAREN              	э              	46	36
LEFT_BLOCK               	¿              	46	40
LET                      	let            	47	2
INT                      	int            	47	6
IDENTIFIER               	id             	47	10
DELIMITER                	$              	47	12
RETURN                   	return         	48	2
BOOL_LITERAL             	False          	48	9
AND                      	@              	48	15
BOOL_LITERAL             	True           	48	17
DELIMITER                	$              	48	21
RIGHT_BLOCK              	?              	49	3
STRING                   	string         	51	1
IDENTIFIER               	_func3_        	51	8
LEFT_PAREN               	є              	51	17
RIGHT_PAREN              	э              	51	20
LEFT_BLOCK               	¿              	51	24
LET                      	let            	52	2
STRING                   	string         	52	6
IDENTIFIER               	_b1_           	52	13
DELIMITER                	$              	52	17
RETURN                   	return         	53	2
IDENTIFIER               	_b1_           	53	9
DELIMITER                	$              	53	13
RIGHT_BLOCK              	?              	54	3
VOID                     	void           	56	1
PRINCIPAL                	principal      	56	6
LEFT_PAREN               	є              	56	16
RIGHT_PAREN              	э              	56	19
LEFT_BLOCK               	¿              	56	22
LET                      	let            	60	2
CHAR                     	char           	60	6
IDENTIFIER               	miChar         	60	11
ASSIGN                   	=              	60	17
CHAR_LITERAL             	'!'            	60	18
DELIMITER                	$              	60	21
LET                      	let            	61	2
CHAR                     	char           	61	6
IDENTIFIER               	miChar2        	61	11
ASSIGN                   	=              	61	18
CHAR_LITERAL             	'!'            	61	19
DELIMITER                	$              	61	22
LET                      	let            	62	2
STRING                   	string         	62	6
IDENTIFIER               	str1           	62	13
ASSIGN                   	=              	62	17
STRING_LITERAL           	"Mi string 1"  	62	18
DELIMITER                	$              	62	31
LET                      	let            	63	2
FLOAT                    	float          	63	6
IDENTIFIER               	fl1            	63	12
DELIMITER                	$              	63	15
LET                      	let            	64	9
INT                      	int            	64	13
IDENTIFIER               	w              	64	17
DELIMITER                	$              	64	18
LET                      	let            	65	9
FLOAT                    	float          	65	13
IDENTIFIER               	f              	65	19
DELIMITER                	$              	65	20
LET                      	let            	66	2
FLOAT                    	float          	66	6
IDENTIFIER               	fl1            	66	12
ASSIGN                   	=              	66	15
FLOAT_LITERAL            	56.6           	66	16
DELIMITER                	$              	66	20
LET                      	let            	67	2
INT                      	int            	67	6
IDENTIFIER               	in1            	67	10
ASSIGN                   	=              	67	13
IDENTIFIER               	w              	67	14
DECREMENT                	--             	67	15
MINUS_OPERATOR           	-              	67	17
INT_LITERAL              	-14            	67	19
MOD_OPERATOR             	%              	67	22
IDENTIFIER               	w              	67	23
INCREMENT                	++             	67	25
PLUS_OPERATOR            	+              	67	27
INT_LITERAL              	7              	67	29
INT_DIV_OPERATOR         	//             	67	31
INT_LITERAL              	15             	67	34
DELIMITER                	$              	67	36
LET                      	let            	68	2
